id:ID,url,name,eurovoc_concepts:STRING[],domains:STRING[],subdomains:STRING[],:LABEL
http://eurovoc.europa.eu/100242,http://eurovoc.europa.eu/100242,5206 environmental policy,52 ENVIRONMENT;5206 environmental policy,52 ENVIRONMENT,5206 environmental policy,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100243,http://eurovoc.europa.eu/100243,5211 natural environment,52 ENVIRONMENT;5211 natural environment,52 ENVIRONMENT,5211 natural environment,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100244,http://eurovoc.europa.eu/100244,5216 deterioration of the environment,52 ENVIRONMENT;5216 deterioration of the environment,52 ENVIRONMENT,5216 deterioration of the environment,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100245,http://eurovoc.europa.eu/100245,5606 agricultural policy,"5606 agricultural policy;56 AGRICULTURE, FORESTRY AND FISHERIES","56 AGRICULTURE, FORESTRY AND FISHERIES",5606 agricultural policy,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100246,http://eurovoc.europa.eu/100246,5611 agricultural structures and production,"5611 agricultural structures and production;56 AGRICULTURE, FORESTRY AND FISHERIES","56 AGRICULTURE, FORESTRY AND FISHERIES",5611 agricultural structures and production,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100247,http://eurovoc.europa.eu/100247,5616 farming systems,"5616 farming systems;56 AGRICULTURE, FORESTRY AND FISHERIES","56 AGRICULTURE, FORESTRY AND FISHERIES",5616 farming systems,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100248,http://eurovoc.europa.eu/100248,5621 cultivation of agricultural land,"5621 cultivation of agricultural land;56 AGRICULTURE, FORESTRY AND FISHERIES","56 AGRICULTURE, FORESTRY AND FISHERIES",5621 cultivation of agricultural land,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100249,http://eurovoc.europa.eu/100249,5626 means of agricultural production,"5626 means of agricultural production;56 AGRICULTURE, FORESTRY AND FISHERIES","56 AGRICULTURE, FORESTRY AND FISHERIES",5626 means of agricultural production,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100250,http://eurovoc.europa.eu/100250,5631 agricultural activity,"5631 agricultural activity;56 AGRICULTURE, FORESTRY AND FISHERIES","56 AGRICULTURE, FORESTRY AND FISHERIES",5631 agricultural activity,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100251,http://eurovoc.europa.eu/100251,5636 forestry,"56 AGRICULTURE, FORESTRY AND FISHERIES;5636 forestry","56 AGRICULTURE, FORESTRY AND FISHERIES",5636 forestry,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100252,http://eurovoc.europa.eu/100252,5641 fisheries,"5641 fisheries;56 AGRICULTURE, FORESTRY AND FISHERIES","56 AGRICULTURE, FORESTRY AND FISHERIES",5641 fisheries,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100253,http://eurovoc.europa.eu/100253,6006 plant product,6006 plant product;60 AGRI-FOODSTUFFS,60 AGRI-FOODSTUFFS,6006 plant product,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100254,http://eurovoc.europa.eu/100254,6011 animal product,60 AGRI-FOODSTUFFS;6011 animal product,60 AGRI-FOODSTUFFS,6011 animal product,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100255,http://eurovoc.europa.eu/100255,6016 processed agricultural produce,60 AGRI-FOODSTUFFS;6016 processed agricultural produce,60 AGRI-FOODSTUFFS,6016 processed agricultural produce,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100256,http://eurovoc.europa.eu/100256,6021 beverages and sugar,60 AGRI-FOODSTUFFS;6021 beverages and sugar,60 AGRI-FOODSTUFFS,6021 beverages and sugar,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100257,http://eurovoc.europa.eu/100257,6026 foodstuff,60 AGRI-FOODSTUFFS;6026 foodstuff,60 AGRI-FOODSTUFFS,6026 foodstuff,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100258,http://eurovoc.europa.eu/100258,6031 agri-foodstuffs,6031 agri-foodstuffs;60 AGRI-FOODSTUFFS,60 AGRI-FOODSTUFFS,6031 agri-foodstuffs,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100259,http://eurovoc.europa.eu/100259,6036 food technology,60 AGRI-FOODSTUFFS;6036 food technology,60 AGRI-FOODSTUFFS,6036 food technology,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100260,http://eurovoc.europa.eu/100260,6406 production,"64 PRODUCTION, TECHNOLOGY AND RESEARCH;6406 production","64 PRODUCTION, TECHNOLOGY AND RESEARCH",6406 production,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100261,http://eurovoc.europa.eu/100261,6411 technology and technical regulations,"64 PRODUCTION, TECHNOLOGY AND RESEARCH;6411 technology and technical regulations","64 PRODUCTION, TECHNOLOGY AND RESEARCH",6411 technology and technical regulations,EurovocConcept;SubDomain
