Source,Target,Type,start_year,end_year
32012H0724(12),32012D0238,CITES,2012.0,2012.0
32012H0724(14),32012D0238,CITES,2012.0,2012.0
32012H0724(23),32012D0238,CITES,2012.0,2012.0
32012H0724(23),32006L0123,CITES,2012.0,2006.0
32012H0724(23),32011H0723(01),CITES,2012.0,2011.0
32019R1692,32016R0009,CITES,2019.0,2016.0
32008R1338,12006E251,BASED_ON,2008.0,2006.0
32008R1338,12006E285,BASED_ON,2008.0,2006.0
32014L0045,12012E294,BASED_ON,2014.0,2012.0
32014L0045,12012E091,BASED_ON,2014.0,2012.0
32006L0038,12002E071,BASED_ON,2006.0,2002.0
32006L0038,31999L0062,BASED_ON,2006.0,1999.0
32006L0038,12002E251,BASED_ON,2006.0,2002.0
32014R0527,32013R0575,CITES,2014.0,2013.0
32014R0527,31995R2494,CITES,2014.0,1995.0
32014R0527,32010R1093,CITES,2014.0,2010.0
32015O0019,12012E/PRO/04,BASED_ON,2015.0,2012.0
32015O0019,32012R1011,BASED_ON,2015.0,2012.0
32015O0019,31998R2533,BASED_ON,2015.0,1998.0
32017D0899,12016E114,BASED_ON,2017.0,2016.0
32022R2303,32014L0025,BASED_ON,2022.0,2014.0
32022R2303,32009L0081,BASED_ON,2022.0,2009.0
32022R2303,31992L0013,BASED_ON,2022.0,1992.0
32022R2303,32014L0023,BASED_ON,2022.0,2014.0
32022R2303,32014L0024,BASED_ON,2022.0,2014.0
32022R2303,31989L0665,BASED_ON,2022.0,1989.0
32020D1331,12016E/PRO/04,BASED_ON,2020.0,2016.0
32020D1331,12016M/PRO/04,BASED_ON,2020.0,2016.0
32024R3192,12016E215,BASED_ON,2024.0,2016.0
32024D1708,12016E048,BASED_ON,2024.0,2016.0
32024D1708,12016E218,BASED_ON,2024.0,2016.0
32003R1128,12002E251,BASED_ON,2003.0,2002.0
32003R1128,12002E152,BASED_ON,2003.0,2002.0
32003D0822,12002E095,BASED_ON,2003.0,2002.0
32003D0822,12002E037,BASED_ON,2003.0,2002.0
32003D0822,12002E300,BASED_ON,2003.0,2002.0
32003D0822,12002E133,BASED_ON,2003.0,2002.0
32003D0822,12002E152,BASED_ON,2003.0,2002.0
32021R1340,32014L0059,BASED_ON,2021.0,2014.0
32024D1049,12016M028,BASED_ON,2024.0,2016.0
32024D1049,12016M041,BASED_ON,2024.0,2016.0
32024D1075,12016E218,BASED_ON,2024.0,2016.0
32024D1075,12016E194,BASED_ON,2024.0,2016.0
32023D2417,12016E192,BASED_ON,2023.0,2016.0
32023D2417,12016E218,BASED_ON,2023.0,2016.0
32018D0881,32016Q0512(01),BASED_ON,2018.0,2016.0
32018D0881,12016E241,BASED_ON,2018.0,2016.0
32015L0863,32011L0065,BASED_ON,2015.0,2011.0
32022R1032,12016E194,BASED_ON,2022.0,2016.0
31995D0255,31991D0251,CITES,1995.0,1991.0
31995D0255,31993L0038,CITES,1995.0,1993.0
31995D0255,31993Y0806(01),CITES,1995.0,1993.0
31995D0255,31990L0531,CITES,1995.0,1990.0
31995D0255,31988L0301,CITES,1995.0,1988.0
31995R0540,31993R2309,BASED_ON,1995.0,1993.0
32022R2118,32020R1503,BASED_ON,2022.0,2020.0
32011H0716(03),31997R1466,BASED_ON,2011.0,1997.0
32011H0716(03),12010E121,BASED_ON,2011.0,2010.0
32011H0716(03),12010E148,BASED_ON,2011.0,2010.0
32014D0951,12012M038,BASED_ON,2014.0,2012.0
32014D0951,32014D0073,BASED_ON,2014.0,2014.0
31999D0201,11992E113,BASED_ON,1999.0,1992.0
31999D0201,11992E228,BASED_ON,1999.0,1992.0
32019R0942,12016E194,BASED_ON,2019.0,2016.0
32019R1902,32009L0138,BASED_ON,2019.0,2009.0
32001D0098,31989R4064,BASED_ON,2001.0,1989.0
32012H0724(24),12010E121,BASED_ON,2012.0,2010.0
32012H0724(24),31997R1466,BASED_ON,2012.0,1997.0
32012H0724(24),32011R1176,BASED_ON,2012.0,2011.0
32012H0724(24),12010E148,BASED_ON,2012.0,2010.0
32014R1187,32013R0575,BASED_ON,2014.0,2013.0
32021D0729,12016E/PRO/04,BASED_ON,2021.0,2016.0
32021D0729,12016E127,BASED_ON,2021.0,2016.0
32021D0729,12016M/PRO/04,BASED_ON,2021.0,2016.0
32008D0172,32007E0677,BASED_ON,2008.0,2007.0
32008D0172,12006M025,BASED_ON,2008.0,2006.0
32012D0238,12010E148,BASED_ON,2012.0,2010.0
32020R1435,32006R1907,BASED_ON,2020.0,2006.0
32019R0715,12016E287,CITES,2019.0,2016.0
32019R0715,12016E/TXT,CITES,2019.0,2016.0
32019R0715,32013R0883,CITES,2019.0,2013.0
32019R0715,12016M/TXT,CITES,2019.0,2016.0
32019R0715,12016A/TXT,CITES,2019.0,2016.0
32019R0715,32012R1268,CITES,2019.0,2012.0
32019R0715,32012R0966,CITES,2019.0,2012.0
32019R0715,32016R0679,CITES,2019.0,2016.0
32005E0329,12002M018,CITES,2005.0,2002.0
32005E0329,31997E0288,CITES,2005.0,1997.0
32005E0329,32004E0495,CITES,2005.0,2004.0
32022D0906,12016M021,CITES,2022.0,2016.0
32020D0522,12016E/TXT,CITES,2020.0,2016.0
32020D0522,12016M/TXT,CITES,2020.0,2016.0
31986R4055,11957E084,BASED_ON,1986.0,1957.0
32006L0038,31999L0062,AMENDS,2006.0,1999.0
32022D0480,12016E218,CITES,2022.0,2016.0
32022D0480,12016M/TXT,CITES,2022.0,2016.0
32022D0480,12016E215,CITES,2022.0,2016.0
32022D0480,12016P/TXT,CITES,2022.0,2016.0
32021D2137,12016M021,CITES,2021.0,2016.0
32014R0463,31995L0046,CITES,2014.0,1995.0
32014R0463,32012R0966,CITES,2014.0,2012.0
32014R0463,32002L0058,CITES,2014.0,2002.0
32014R0463,31999L0093,CITES,2014.0,1999.0
32014R0463,32001R0045,CITES,2014.0,2001.0
32020D0546,32020B0537,CITES,2020.0,2020.0
32020D0546,32020B0536,CITES,2020.0,2020.0
32014R0513,12012E294,BASED_ON,2014.0,2012.0
32014R0513,12012E087,BASED_ON,2014.0,2012.0
32014R0513,12012E084,BASED_ON,2014.0,2012.0
