Id,Label,year,type,era,seed_concepts,indegree,outdegree,degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
32005R0174,32005R0174,2005,Regulation,Late 2000s,0,1,0,1,20,0,0,0,0
32006D0974,32006D0974,2006,Decision,Late 2000s,0,3,0,3,325,0,0,0,0
32006D1904,32006D1904,2006,Decision,Late 2000s,0,1,0,1,325,0,0,0,0
32006E0243,32006E0243,2006,Legislative_Act,Late 2000s,0,3,0,3,330,0,0,0,0
32006R0910,32006R0910,2006,Regulation,Late 2000s,0,1,0,1,333,0,0,0,0
32006R1881,32006R1881,2006,Regulation,Late 2000s,0,5,0,5,333,0,0,0,0
32007D0125,32007D0125,2007,Decision,Late 2000s,0,1,0,1,325,0,0,0,0
32007D0384,32007D0384,2007,Decision,Late 2000s,0,1,0,1,330,0,0,0,0
32007R1371,32007R1371,2007,Regulation,Late 2000s,0,4,0,4,331,0,0,0,0
32008F0977,32008F0977,2008,Legislative_Act,Late 2000s,0,6,0,6,331,0,0,0,0
32008L0056,32008L0056,2008,Directive,Late 2000s,0,12,8,20,329,2,0.653846,0.735294,243.462309
32008R0605,32008R0605,2008,Regulation,Late 2000s,0,1,0,1,300,0,0,0,0
32008R1331,32008R1331,2008,Regulation,Late 2000s,0,23,4,27,333,3,0.486486,0.564815,376.95
32009D0320,32009D0320,2009,Decision,Late 2000s,0,3,0,3,177,0,0,0,0
32009D0343,32009D0343,2009,Decision,Late 2000s,0,1,0,1,324,0,0,0,0
32009L0101,32009L0101,2009,Directive,Late 2000s,0,1,0,1,280,0,0,0,0
32009R1024,32009R1024,2009,Regulation,Late 2000s,0,1,0,1,23,0,0,0,0
61981CJ0322,61981CJ0322,1981,Case_Law,Pre-Single European Act,0,4,0,4,84,0,0,0,0
61984CJ0311,61984CJ0311,1984,Case_Law,Pre-Single European Act,0,3,0,3,84,0,0,0,0
61989CJ0305,61989CJ0305,1989,Case_Law,Pre-Maastricht,0,13,0,13,84,0,0,0,0
61992CJ0250,61992CJ0250,1992,Case_Law,Pre-Maastricht,0,1,0,1,266,0,0,0,0
61994TJ0358,61994TJ0358,1994,Case_Law,1990s,0,8,0,8,84,0,0,0,0
61998CJ0444,61998CJ0444,1998,Case_Law,1990s,0,1,0,1,17,0,0,0,0
61999TJ0055,61999TJ0055,1999,Case_Law,1990s,0,1,0,1,84,0,0,0,0
62000TJ0318,62000TJ0318,2000,Case_Law,Early 2000s,0,1,0,1,84,0,0,0,0
62002CJ0345,62002CJ0345,2002,Case_Law,Early 2000s,0,3,0,3,84,0,0,0,0
62006CJ0487,62006CJ0487,2006,Case_Law,Late 2000s,0,4,0,4,84,0,0,0,0
62009TJ0347,62009TJ0347,2009,Case_Law,Late 2000s,0,1,0,1,84,0,0,0,0
11957E007,11957E007,1957,Treaty,Pre-Treaty of Rome,0,3,0,3,266,0,0,0,0
11957E008A,11957E008A,1957,Treaty,Pre-Treaty of Rome,0,1,0,1,265,0,0,0,0
11957E206BIS,11957E206BIS,1957,Treaty,Pre-Treaty of Rome,0,1,0,1,17,0,0,0,0
11985I062,11985I062,1985,Treaty,Pre-Single European Act,0,1,0,1,265,0,0,0,0
11985I227,11985I227,1985,Treaty,Pre-Single European Act,0,1,0,1,265,0,0,0,0
11985I232,11985I232,1985,Treaty,Pre-Single European Act,0,1,0,1,265,0,0,0,0
11997E251,11997E251,1997,Treaty,1990s,0,11,0,11,329,0,0,0,0
11997M025,11997M025,1997,Treaty,1990s,0,2,0,2,330,0,0,0,0
12002E080,12002E080,2002,Treaty,Early 2000s,0,5,0,5,333,0,0,0,0
12002E095,12002E095,2002,Treaty,Early 2000s,0,11,0,11,333,0,0,0,0
12002E152,12002E152,2002,Treaty,Early 2000s,0,10,0,10,333,0,0,0,0
12006E/PRO/05,12006EPRO05,2006,Treaty,Late 2000s,0,6,0,6,330,0,0,0,0
12006M028,12006M028,2006,Treaty,Late 2000s,0,2,0,2,330,0,0,0,0
31960D0217(08),31960D021708,1960,Decision,Pre-Single European Act,0,1,0,1,17,0,0,0,0
31968D0416,31968D0416,1968,Decision,Pre-Single European Act,0,1,0,1,300,0,0,0,0
31975L0405,31975L0405,1975,Directive,Pre-Single European Act,0,1,0,1,312,0,0,0,0
31976L0207,31976L0207,1976,Directive,Pre-Single European Act,0,2,0,2,329,0,0,0,0
31980L0068,31980L0068,1980,Directive,Pre-Single European Act,0,4,0,4,329,0,0,0,0
31982D0529,31982D0529,1982,Decision,Pre-Single European Act,0,1,0,1,17,0,0,0,0
31983L0189,31983L0189,1983,Directive,Pre-Single European Act,0,5,0,5,59,0,0,0,0
31984D0191,31984D0191,1984,Decision,Pre-Single European Act,0,1,0,1,280,0,0,0,0
31984R1787,31984R1787,1984,Regulation,Pre-Single European Act,0,1,0,1,17,0,0,0,0
31988L0485,31988L0485,1988,Directive,Pre-Maastricht,0,1,0,1,333,0,0,0,0
31989D0336,31989D0336,1989,Decision,Pre-Maastricht,0,1,0,1,59,0,0,0,0
31991L0271,31991L0271,1991,Directive,Pre-Maastricht,0,6,1,7,329,1,1,1,320.034539
31992D0290,31992D0290,1992,Decision,Pre-Maastricht,0,1,0,1,333,0,0,0,0
31992L0044,31992L0044,1992,Directive,Pre-Maastricht,0,3,0,3,266,0,0,0,0
31993R2309,31993R2309,1993,Regulation,1990s,0,6,0,6,333,0,0,0,0
31993S3632,31993S3632,1993,Legislative_Act,1990s,0,2,0,2,328,0,0,0,0
31994D0797,31994D0797,1994,Decision,1990s,0,1,0,1,59,0,0,0,0
31994D0913,31994D0913,1994,Decision,1990s,0,1,0,1,177,0,0,0,0
31994D0998,31994D0998,1994,Decision,1990s,0,1,0,1,50,0,0,0,0
31994Y0427(01),31994Y042701,1994,Legislative_Act,1990s,0,1,1,2,328,2,0.666667,0.75,0
31997L0067,31997L0067,1997,Directive,1990s,0,12,7,19,324,1,1,1,4523.855983
31998D0190,31998D0190,1998,Decision,1990s,0,1,8,9,84,2,0.625,0.7,14
31999D0573,31999D0573,1999,Decision,1990s,0,1,0,1,266,0,0,0,0
31999E0878,31999E0878,1999,Legislative_Act,1990s,0,1,0,1,330,0,0,0,0
31999L0002,31999L0002,1999,Directive,1990s,0,2,6,8,324,1,1,1,1939.539212
31999R1493,31999R1493,1999,Regulation,1990s,0,2,0,2,333,0,0,0,0
32000L0082,32000L0082,2000,Directive,Early 2000s,0,0,2,2,231,2,0.75,0.833333,0
32001L0082,32001L0082,2001,Directive,Early 2000s,0,12,0,12,231,0,0,0,0
32002R1605,32002R1605,2002,Regulation,Early 2000s,0,18,0,18,329,0,0,0,0
32003D0664,32003D0664,2003,Decision,Early 2000s,0,1,0,1,333,0,0,0,0
