Id,Label,Year,Type,Era,Seed_Concepts
32003E0472,32003E0472,2003.0,Legislative_Act,Early 2000s,0
32003L0006,32003L0006,2003.0,Directive,Early 2000s,0
32003Q1231(01),32003Q123101,2003.0,Legislative_Act,Early 2000s,0
32003R0807,32003R0807,2003.0,Regulation,Early 2000s,0
32004L0040,32004L0040,2004.0,Directive,Early 2000s,0
32004R2006,32004R2006,2004.0,Regulation,Early 2000s,0
32005D0303,32005D0303,2005.0,Decision,Late 2000s,0
32005L0010,32005L0010,2005.0,Directive,Late 2000s,0
32006D1855,32006D1855,2006.0,Decision,Late 2000s,0
32006R1543,32006R1543,2006.0,Regulation,Late 2000s,0
32007D0779(01),32007D077901,2007.0,Decision,Late 2000s,0
32008E0314,32008E0314,2008.0,Legislative_Act,Late 2000s,0
32008L0057,32008L0057,2008.0,Directive,Late 2000s,0
32008R0033,32008R0033,2008.0,Regulation,Late 2000s,0
32008R1262,32008R1262,2008.0,Regulation,Late 2000s,0
32008R1336,32008R1336,2008.0,Regulation,Late 2000s,0
32009D0079,32009D0079,2009.0,Decision,Late 2000s,0
32009H0848,32009H0848,2009.0,Legislative_Act,Late 2000s,0
32009L0090,32009L0090,2009.0,Directive,Late 2000s,0
32009R0070,32009R0070,2009.0,Regulation,Late 2000s,0
32010D0661,32010D0661,2010.0,Decision,Early 2010s,0
32010R0550,32010R0550,2010.0,Regulation,Early 2010s,0
32011D0292,32011D0292,2011.0,Decision,Early 2010s,0
32011H0622,32011H0622,2011.0,Legislative_Act,Early 2010s,0
32011R0101,32011R0101,2011.0,Regulation,Early 2010s,0
32011R0540,32011R0540,2011.0,Regulation,Early 2010s,0
32011R1251,32011R1251,2011.0,Regulation,Early 2010s,0
32012R0618,32012R0618,2012.0,Regulation,Early 2010s,0
32013R0487,32013R0487,2013.0,Regulation,Early 2010s,0
32013R0883,32013R0883,2013.0,Regulation,Early 2010s,0
32013R1272,32013R1272,2013.0,Regulation,Early 2010s,0
32013R1301,32013R1301,2013.0,Regulation,Early 2010s,0
32013R1382,32013R1382,2013.0,Regulation,Early 2010s,0
32014D0029(01),32014D002901,2014.0,Decision,Early 2010s,0
32014D0132,32014D0132,2014.0,Decision,Early 2010s,0
32014D0287,32014D0287,2014.0,Decision,Early 2010s,0
32014D0535,32014D0535,2014.0,Decision,Early 2010s,0
32014L0030,32014L0030,2014.0,Directive,Early 2010s,0
32014L0048,32014L0048,2014.0,Directive,Early 2010s,0
32014L0057,32014L0057,2014.0,Directive,Early 2010s,0
32014O0043,32014O0043,2014.0,Legislative_Act,Early 2010s,0
32014R0223,32014R0223,2014.0,Regulation,Early 2010s,0
32014R1144,32014R1144,2014.0,Regulation,Early 2010s,0
32015D0022,32015D0022,2015.0,Decision,Late 2010s,0
32015H0682,32015H0682,2015.0,Legislative_Act,Late 2010s,0
32015R1502,32015R1502,2015.0,Regulation,Late 2010s,0
32015R2002,32015R2002,2015.0,Regulation,Late 2010s,0
32016L1148,32016L1148,2016.0,Directive,Late 2010s,0
32016R0758,32016R0758,2016.0,Regulation,Late 2010s,0
32017D1210,32017D1210,2017.0,Decision,Late 2010s,0
32017D2334,32017D2334,2017.0,Decision,Late 2010s,0
32017R0208,32017R0208,2017.0,Regulation,Late 2010s,0
32017R0555,32017R0555,2017.0,Regulation,Late 2010s,0
32017R0706,32017R0706,2017.0,Regulation,Late 2010s,0
32017R0745,32017R0745,2017.0,Regulation,Late 2010s,0
32017R1000,32017R1000,2017.0,Regulation,Late 2010s,0
32017R2189,32017R2189,2017.0,Regulation,Late 2010s,0
32018R1805,32018R1805,2018.0,Regulation,Late 2010s,0
32018R1807,32018R1807,2018.0,Regulation,Late 2010s,0
32019D0762,32019D0762,2019.0,Decision,Late 2010s,0
32019L0170,32019L0170,2019.0,Directive,Late 2010s,0
32019R0496,32019R0496,2019.0,Regulation,Late 2010s,0
32019R0715,32019R0715,2019.0,Regulation,Late 2010s,0
32019R0942,32019R0942,2019.0,Regulation,Late 2010s,0
32019R1745,32019R1745,2019.0,Regulation,Late 2010s,0
32019R2124,32019R2124,2019.0,Regulation,Late 2010s,0
32019R2160,32019R2160,2019.0,Regulation,Late 2010s,0
32020D0138,32020D0138,2020.0,Decision,2020s,0
32020D1023,32020D1023,2020.0,Decision,2020s,0
