celex,title,year,domains,subdomains,legal_type,url
32011D0900,32011D0900,2011.0,POLITICS;EUROPEAN UNION,POLITICS AND PUBLIC SAFETY;EU INSTITUTIONS AND EUROPEAN CIVIL SERVICE,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0900
32011H0719(04),32011H0719(04),2011.0,"SOCIAL QUESTIONS;PRODUCTION, TECHNOLOGY AND RESEARCH;ECONOMICS;FINANCE;EMPLOYMENT AND WORKING CONDITIONS;GEOGRAPHY;EUROPEAN UNION",PUBLIC FINANCE AND BUDGET POLICY;EMPLOYMENT;SOCIAL PROTECTION;EUROPE;ECONOMIC GEOGRAPHY;ECONOMIC CONDITIONS;RESEARCH AND INTELLECTUAL PROPERTY;POLITICAL GEOGRAPHY;EUROPEAN CONSTRUCTION,Recommendation,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011H0719(04)
32011L0016R(04),32011L0016R(04),2011.0,POLITICS;TRADE;LAW,EXECUTIVE POWER AND PUBLIC SERVICE;CRIMINAL LAW;TRADE POLICY,Directive,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011L0016R(04)
32011L0024R(01),32011L0024R(01),2011.0,SOCIAL QUESTIONS;TRADE;INTERNATIONAL RELATIONS;LAW,SOCIAL PROTECTION;INTERNATIONAL LAW;MARKETING;HEALTH;COOPERATION POLICY,Directive,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011L0024R(01)
32011L0031,32011L0031,2011.0,UNKNOWN,SETTORE TRASVERSALE,Directive,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011L0031
32011L0034,32011L0034,2011.0,"SOCIAL QUESTIONS;ENVIRONMENT;POLITICS;TRADE;AGRICULTURE, FORESTRY AND FISHERIES;INDUSTRY",CHEMISTRY;EXECUTIVE POWER AND PUBLIC SERVICE;DETERIORATION OF THE ENVIRONMENT;MEANS OF AGRICULTURAL PRODUCTION;MARKETING;HEALTH;AGRICULTURAL POLICY,Directive,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011L0034
32011L0037R(01),32011L0037R(01),2011.0,"ENVIRONMENT;PRODUCTION, TECHNOLOGY AND RESEARCH;TRANSPORT",ORGANISATION OF TRANSPORT;ENVIRONMENTAL POLICY;TECHNOLOGY AND TECHNICAL REGULATIONS,Directive,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011L0037R(01)
32011L0048,32011L0048,2011.0,UNKNOWN,SETTORE TRASVERSALE,Directive,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011L0048
32011L0061R(04),32011L0061R(04),2011.0,TRADE;EDUCATION AND COMMUNICATIONS;FINANCE;EMPLOYMENT AND WORKING CONDITIONS;EUROPEAN UNION,EMPLOYMENT;FINANCIAL INSTITUTIONS AND CREDIT;BUDGET;INFORMATION AND INFORMATION PROCESSING;TRADE POLICY;EUROPEAN CONSTRUCTION;FREE MOVEMENT OF CAPITAL,Directive,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011L0061R(04)
32011L0070R(01),32011L0070R(01),2011.0,ENVIRONMENT;ENERGY,ELECTRICAL AND NUCLEAR INDUSTRIES;DETERIORATION OF THE ENVIRONMENT;ENVIRONMENTAL POLICY,Directive,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011L0070R(01)
32011L0083R(02),32011L0083R(02),2011.0,TRADE;LAW;EUROPEAN UNION,CONSUMPTION;TRADE POLICY;EUROPEAN UNION LAW;CIVIL LAW,Directive,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011L0083R(02)
32011L0095R(04),"Directive 2011/95/EU of the European Parliament and of the Council of 13 December 2011 on standards for the qualification of third-country nationals or stateless persons as beneficiaries of international protection, for a uniform status for refugees or for persons eligible for subsidiary protection, and for the content of the protection granted (recast)",2011.0,INTERNATIONAL RELATIONS;LAW,INTERNATIONAL SECURITY;INTERNATIONAL LAW;RIGHTS AND FREEDOMS,Directive,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011L0095R(04)
32011L0099,32011L0099,2011.0,LAW;EUROPEAN UNION,CRIMINAL LAW;JUSTICE;EUROPEAN CONSTRUCTION;RIGHTS AND FREEDOMS,Directive,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011L0099
32011M5928,32011M5928,2011.0,UNKNOWN,SETTORE TRASVERSALE,Other/Secondary,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011M5928
32011M6049,32011M6049,2011.0,UNKNOWN,SETTORE TRASVERSALE,Other/Secondary,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011M6049
32011M6092,32011M6092,2011.0,UNKNOWN,SETTORE TRASVERSALE,Other/Secondary,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011M6092
32011M6105,32011M6105,2011.0,UNKNOWN,SETTORE TRASVERSALE,Other/Secondary,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011M6105
32011M6116,32011M6116,2011.0,UNKNOWN,SETTORE TRASVERSALE,Other/Secondary,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011M6116
32011M6133,32011M6133,2011.0,UNKNOWN,SETTORE TRASVERSALE,Other/Secondary,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011M6133
32011M6136,32011M6136,2011.0,UNKNOWN,SETTORE TRASVERSALE,Other/Secondary,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011M6136
32011M6137,32011M6137,2011.0,UNKNOWN,SETTORE TRASVERSALE,Other/Secondary,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011M6137
32011M6157,32011M6157,2011.0,UNKNOWN,SETTORE TRASVERSALE,Other/Secondary,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011M6157
32011M6175,32011M6175,2011.0,UNKNOWN,SETTORE TRASVERSALE,Other/Secondary,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011M6175
32011M6182,32011M6182,2011.0,UNKNOWN,SETTORE TRASVERSALE,Other/Secondary,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011M6182
32011M6185,32011M6185,2011.0,UNKNOWN,SETTORE TRASVERSALE,Other/Secondary,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011M6185
32011M6207,32011M6207,2011.0,UNKNOWN,SETTORE TRASVERSALE,Other/Secondary,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011M6207
32011M6219,32011M6219,2011.0,UNKNOWN,SETTORE TRASVERSALE,Other/Secondary,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011M6219
32011M6222,32011M6222,2011.0,UNKNOWN,SETTORE TRASVERSALE,Other/Secondary,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011M6222
32011M6237,32011M6237,2011.0,UNKNOWN,SETTORE TRASVERSALE,Other/Secondary,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011M6237
32011M6270,32011M6270,2011.0,UNKNOWN,SETTORE TRASVERSALE,Other/Secondary,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011M6270
32011M6276,32011M6276,2011.0,UNKNOWN,SETTORE TRASVERSALE,Other/Secondary,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011M6276
32011M6281,32011M6281,2011.0,UNKNOWN,SETTORE TRASVERSALE,Other/Secondary,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011M6281
32011M6303,32011M6303,2011.0,UNKNOWN,SETTORE TRASVERSALE,Other/Secondary,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011M6303
32011M6343,32011M6343,2011.0,UNKNOWN,SETTORE TRASVERSALE,Other/Secondary,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011M6343
